gene,beta1,beta2,eigenvalue_modulus,r2,root_type,category
Cdk15,-0.035945,0.037782,0.2132,-0.0048,real,other
Fzd7,0.153496,0.248565,0.5812,0.1049,real,signaling
Gm973,0.329990,-0.071549,0.2675,0.0974,complex,other
Nop58,0.027314,0.145288,0.3951,0.0171,real,other
Bmpr2,-0.045829,0.282241,0.5547,0.0759,real,other
Fam117b,-0.242399,0.185085,0.5682,0.1171,real,other
Carf,-0.265114,0.354667,0.7427,0.2516,real,other
Nbeal1,-0.093928,0.445361,0.7160,0.2174,real,other
Cyp20a1,0.028909,0.596548,0.7870,0.3276,real,other
Abi2,-0.189704,0.438554,0.7638,0.2460,real,other
Eif4a1,0.335331,0.015119,0.3756,0.1070,real,other
Cd28,0.083523,0.036012,0.2361,0.0084,real,other
Ctla4,-0.184800,0.317504,0.6634,0.1349,real,other
Icos,-0.257703,-0.269279,0.5189,0.1080,complex,immune
Pard3b,0.188860,0.249832,0.6031,0.0790,real,other
Nrp2,0.067637,0.177000,0.4559,0.0320,real,other
Eef1b2,0.130956,0.362886,0.6714,0.1633,real,other
Snora41,0.429033,-0.162415,0.4030,0.1432,complex,other
Zdbf2,-0.009271,0.184464,0.4342,0.0318,real,other
Adam23,0.283182,0.304537,0.7113,0.2506,real,other
Fastkd2,-0.048572,0.517004,0.7437,0.2676,real,other
Gm13749,0.060490,0.155638,0.4259,0.0267,real,other
Creb1,0.294882,0.163134,0.5774,0.1453,real,other
Ccnyl1,-0.166607,0.450541,0.7597,0.2593,real,other
Pikfyve,-0.429746,0.011061,0.4541,0.1895,real,other
Pth2r,0.015658,0.180726,0.4330,0.0313,real,other
Crygf,-0.090161,0.174000,0.4646,0.0456,real,other
Unc80,-0.013857,0.407819,0.6456,0.1674,real,other
Rpe,0.062844,0.442087,0.6971,0.2100,real,other
Cps1,0.415679,0.003700,0.4244,0.1773,real,other
Spag16,-0.055043,0.149288,0.4149,0.0238,real,other
Vwc2l,-0.116002,0.426169,0.7134,0.2148,real,other
Atic,0.623564,-0.033712,0.5638,0.3363,real,other
Apol7d,-0.141928,-0.263639,0.5135,0.0809,complex,other
Rpl21,-0.008159,0.379325,0.6200,0.1211,real,other
Tmem169,-0.131888,0.183061,0.4989,0.0369,real,other
Xrcc5,0.057611,0.550305,0.7712,0.2831,real,other
Smarcal1,0.261286,0.393694,0.7715,0.3162,real,other
Igfbp2,0.030938,0.437175,0.6768,0.1985,real,other
Rufy4,-0.257415,0.018673,0.3164,0.0653,real,other
Cxcr2,0.077662,-0.000402,0.0721,-0.1382,real,other
Arpc2,-0.032216,0.163158,0.4204,0.0152,real,other
Gpbar1,0.011188,0.376283,0.6190,0.1283,real,other
Pnkd,1.212546,-0.492483,0.7018,0.7309,complex,other
Catip,-0.030371,-0.224354,0.4737,0.0484,complex,other
Slc11a1,0.070928,-0.040823,0.2020,0.0009,complex,other
Ctdsp1,-0.022183,0.397356,0.6416,0.1587,real,other
Mir26b,0.021530,-0.308773,0.5557,0.0954,complex,other
Vil1,0.227389,-0.085193,0.2919,0.0508,complex,other
Cnot9,0.059048,0.395788,0.6593,0.1626,real,other
Plcd4,-0.382135,0.033870,0.4564,0.1589,real,other
Bcs1l,0.160061,0.411136,0.7262,0.2383,real,other
Stk36,-0.074514,0.117863,0.3826,0.0198,real,other
Ttll4,-0.068815,0.210441,0.4944,0.0502,real,other
Cyp27a1,0.105198,0.129986,0.4170,0.0297,real,other
Wnt6,-0.131737,-0.051894,0.2278,0.0182,complex,other
Wnt10a,-0.153721,-0.037845,0.1945,0.0232,complex,other
Cdk5r2,0.077844,0.017127,0.1755,0.0064,real,other
Fam134a,0.111609,0.138161,0.4317,0.0358,real,other
Zfand2b,-0.485424,-0.093502,0.3058,0.2010,complex,other
Ankzf1,-0.199704,0.405994,0.7448,0.2574,real,other
Stk16,0.203390,0.227934,0.5898,0.1153,real,other
Des,-0.313127,-0.125886,0.3548,0.0952,complex,other
Speg,0.170231,0.089360,0.3959,0.0424,real,other
Gmppa,-0.265616,-0.061573,0.2481,0.0646,complex,other
Asic4,-0.059735,-0.088878,0.2981,0.0107,complex,other
Tmem198,0.105832,-0.218501,0.4674,0.0543,complex,other
Stk11ip,0.002138,0.428386,0.6556,0.1498,real,other
Slc4a3,-0.213141,0.198536,0.5647,0.0992,real,other
Gm33152,0.017854,0.142780,0.3869,0.0143,real,other
Sgpp2,0.114720,-0.066824,0.2585,0.0133,complex,other
Mogat1,0.176764,-0.027920,0.1671,0.0292,complex,other
Kcne4,-0.239260,0.120683,0.4870,0.0760,real,other
Gm10555,-0.524829,-0.137229,0.3704,0.2291,complex,other
Mrpl44,-0.124845,0.212352,0.5274,0.0695,real,other
9830004L10Rik,0.047868,-0.167311,0.4090,0.0290,complex,other
Nyap2,-0.244351,0.176471,0.5597,0.1192,real,other
Irs1,0.408170,-0.256738,0.5067,0.1638,complex,other
Rhbdd1,-0.024983,0.330576,0.5876,0.1035,real,other
Col4a3,-0.172145,0.256540,0.5998,0.1080,real,other
Mff,0.157423,0.388840,0.7072,0.1868,real,other
Agfg1,0.419823,-0.003044,0.4124,0.1565,real,other
Ccl20,0.020581,0.221225,0.4807,0.0473,real,other
Daw1,-0.031265,-0.245982,0.4960,0.0613,complex,other
Fbxo36,0.260320,0.157774,0.5482,0.1362,real,other
Rpl19,0.189281,0.453857,0.7749,0.2948,real,other
A530040E14Rik,-0.189046,0.127371,0.4637,0.0647,real,other
G530012D18Rik,-0.218633,0.292753,0.6613,0.1705,real,other
Sp100,0.096570,0.223831,0.5239,0.0635,real,other
Cab39,0.074934,0.150047,0.4266,0.0295,real,other
Itm2c,0.233242,0.208390,0.5878,0.1210,real,other
4933407L21Rik,-0.208338,0.232049,0.5970,0.1142,real,other
Spata3,-0.203557,0.003444,0.2193,0.0377,real,other
2810459M11Rik,0.398957,0.090935,0.5610,0.1985,real,other
Psmd1,0.401295,0.051269,0.5032,0.1858,real,other
Armc9,0.484614,-0.023266,0.4306,0.2269,real,other
B3gnt7,0.189167,0.361726,0.7034,0.1945,real,other
C130036L24Rik,-0.276730,0.280107,0.6854,0.1923,real,other
1700019O17Rik,-0.276582,0.154946,0.5555,0.1287,real,other
Cops7b,0.032682,0.462927,0.6969,0.1740,real,other
Dis3l2,-0.001793,0.415572,0.6455,0.1646,real,other
Akp3,-0.126900,0.060516,0.3175,0.0222,real,other
Prss56,0.104376,-0.007249,0.0851,0.0067,complex,other
Chrnd,-0.122468,0.019785,0.2146,0.0146,real,other
Chrng,-0.582329,-0.358701,0.5989,0.3048,complex,other
Eif4e2,0.142216,0.368976,0.6827,0.1856,real,other
Efhd1,-0.210748,0.182611,0.5455,0.0818,real,other
Gigyf2,-0.159995,-0.041590,0.2039,0.0241,complex,other
Neu2,0.657516,-0.135672,0.3683,0.3339,complex,other
3110079O15Rik,0.167911,0.079868,0.3788,0.0326,real,other
Inpp5d,-0.115323,0.212044,0.5217,0.0466,real,other
Atg16l1,-0.205695,0.274963,0.6372,0.1533,real,other
5830472F04Rik,-0.007810,0.143084,0.3822,0.0188,real,other
Sag,-0.227862,-0.107682,0.3281,0.0533,complex,other
Dgkd,0.041029,0.485788,0.7178,0.2495,real,other
Mroh2a,-0.259080,-0.354408,0.5953,0.1595,complex,other
Trpm8,0.166132,-0.075125,0.2741,0.0018,complex,other
Spp2,-0.442978,0.273518,0.7894,0.4215,real,other
Sh3bp4,-0.131756,-0.128743,0.3588,0.0226,complex,other
